Match Number,Round Number,Date,Location,Home Team,Away Team,Result
46,2,31/10/2023 00:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,
47,2,31/10/2023 00:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,
48,2,31/10/2023 00:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,
49,2,31/10/2023 00:00,Paycom Center,Oklahoma City Thunder,Detroit Pistons,
50,2,31/10/2023 01:00,Ball Arena,Denver Nuggets,Utah Jazz,
51,2,31/10/2023 02:30,Crypto.com Arena,Los Angeles Lakers,Orlando Magic,
52,2,31/10/2023 23:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,
53,2,01/11/2023 02:00,Footprint Center,Phoenix Suns,San Antonio Spurs,
54,2,01/11/2023 02:30,Crypto.com Arena,LA Clippers,Orlando Magic,
55,2,01/11/2023 23:00,Little Caesars Arena,Detroit Pistons,Portland Trail Blazers,
56,2,01/11/2023 23:00,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,
57,2,01/11/2023 23:30,State Farm Arena,Atlanta Hawks,Washington Wizards,
58,2,01/11/2023 23:30,TD Garden,Boston Celtics,Indiana Pacers,
59,2,01/11/2023 23:30,Kaseya Center,Miami Heat,Brooklyn Nets,
60,2,01/11/2023 23:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,
61,2,01/11/2023 23:30,Paycom Center,Oklahoma City Thunder,New Orleans Pelicans,
62,2,02/11/2023 00:00,Toyota Center,Houston Rockets,Charlotte Hornets,
63,2,02/11/2023 00:00,Target Center,Minnesota Timberwolves,Denver Nuggets,
64,2,02/11/2023 00:30,American Airlines Center,Dallas Mavericks,Chicago Bulls,
65,2,02/11/2023 01:00,Delta Center,Utah Jazz,Memphis Grizzlies,
66,2,02/11/2023 02:00,Chase Center,Golden State Warriors,Sacramento Kings,
67,2,02/11/2023 02:00,Crypto.com Arena,Los Angeles Lakers,LA Clippers,
68,2,02/11/2023 23:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,
69,2,03/11/2023 00:00,Smoothie King Center,New Orleans Pelicans,Detroit Pistons,
70,2,03/11/2023 01:00,Delta Center,Utah Jazz,Orlando Magic,
71,2,03/11/2023 02:00,Footprint Center,Phoenix Suns,San Antonio Spurs,
72,2,03/11/2023 23:00,Gainbridge Fieldhouse,Indiana Pacers,Cleveland Cavaliers,
73,2,03/11/2023 23:30,Fiserv Forum,Milwaukee Bucks,New York Knicks,
74,2,04/11/2023 00:00,Kaseya Center,Miami Heat,Washington Wizards,
75,2,04/11/2023 00:00,United Center,Chicago Bulls,Brooklyn Nets,
76,2,04/11/2023 00:00,Paycom Center,Oklahoma City Thunder,Golden State Warriors,
77,2,04/11/2023 02:00,Ball Arena,Denver Nuggets,Dallas Mavericks,
78,2,04/11/2023 02:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,
79,2,04/11/2023 17:00,Wells Fargo Center,Philadelphia 76ers,Phoenix Suns,
80,2,04/11/2023 23:00,Gainbridge Fieldhouse,Indiana Pacers,Charlotte Hornets,
81,2,04/11/2023 23:00,Amway Center,Orlando Magic,Los Angeles Lakers,
82,2,04/11/2023 23:00,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,
83,2,05/11/2023 00:00,Barclays Center,Brooklyn Nets,Boston Celtics,
84,2,05/11/2023 00:00,Toyota Center,Houston Rockets,Sacramento Kings,
85,2,05/11/2023 00:00,Target Center,Minnesota Timberwolves,Utah Jazz,
86,2,05/11/2023 01:00,Ball Arena,Denver Nuggets,Chicago Bulls,
87,2,05/11/2023 20:00,Little Caesars Arena,Detroit Pistons,Phoenix Suns,
88,2,05/11/2023 20:30,Frost Bank Center,San Antonio Spurs,Toronto Raptors,
89,2,05/11/2023 23:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Golden State Warriors,
90,2,06/11/2023 00:30,American Airlines Center,Dallas Mavericks,Charlotte Hornets,
91,2,06/11/2023 02:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,
92,3,07/11/2023 00:00,Little Caesars Arena,Detroit Pistons,Golden State Warriors,
93,3,07/11/2023 00:00,Gainbridge Fieldhouse,Indiana Pacers,San Antonio Spurs,
94,3,07/11/2023 00:00,Amway Center,Orlando Magic,Dallas Mavericks,
95,3,07/11/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,
96,3,07/11/2023 00:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,
97,3,07/11/2023 00:30,Kaseya Center,Miami Heat,Los Angeles Lakers,
98,3,07/11/2023 00:30,Madison Square Garden,New York Knicks,LA Clippers,
99,3,07/11/2023 01:00,United Center,Chicago Bulls,Utah Jazz,
100,3,07/11/2023 01:00,Toyota Center,Houston Rockets,Sacramento Kings,
101,3,07/11/2023 01:00,Target Center,Minnesota Timberwolves,Boston Celtics,
102,3,07/11/2023 01:00,Paycom Center,Oklahoma City Thunder,Atlanta Hawks,
103,3,07/11/2023 02:00,Ball Arena,Denver Nuggets,New Orleans Pelicans,
104,3,09/11/2023 00:00,Spectrum Center,Charlotte Hornets,Washington Wizards,
105,3,09/11/2023 00:00,Gainbridge Fieldhouse,Indiana Pacers,Utah Jazz,
106,3,09/11/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,
107,3,09/11/2023 00:30,Barclays Center,Brooklyn Nets,LA Clippers,
108,3,09/11/2023 00:30,Madison Square Garden,New York Knicks,San Antonio Spurs,
109,3,09/11/2023 01:00,United Center,Chicago Bulls,Phoenix Suns,
110,3,09/11/2023 01:00,Toyota Center,Houston Rockets,Los Angeles Lakers,
111,3,09/11/2023 01:00,FedExForum,Memphis Grizzlies,Miami Heat,
112,3,09/11/2023 01:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,
113,3,09/11/2023 01:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,
114,3,09/11/2023 01:00,Paycom Center,Oklahoma City Thunder,Cleveland Cavaliers,
115,3,09/11/2023 01:30,American Airlines Center,Dallas Mavericks,Toronto Raptors,
116,3,09/11/2023 03:00,Ball Arena,Denver Nuggets,Golden State Warriors,
117,3,09/11/2023 03:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,
118,3,10/11/2023 00:00,Gainbridge Fieldhouse,Indiana Pacers,Milwaukee Bucks,
119,3,10/11/2023 02:30,Arena CDMX,Orlando Magic,Atlanta Hawks,
120,3,11/11/2023 00:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,
121,3,11/11/2023 00:00,Capital One Arena,Washington Wizards,Charlotte Hornets,
122,3,11/11/2023 00:30,TD Garden,Boston Celtics,Brooklyn Nets,
123,3,11/11/2023 01:00,Toyota Center,Houston Rockets,New Orleans Pelicans,
124,3,11/11/2023 01:00,FedExForum,Memphis Grizzlies,Utah Jazz,
125,3,11/11/2023 01:00,Frost Bank Center,San Antonio Spurs,Minnesota Timberwolves,
126,3,11/11/2023 01:30,American Airlines Center,Dallas Mavericks,LA Clippers,
127,3,11/11/2023 03:00,Footprint Center,Phoenix Suns,Los Angeles Lakers,
128,3,11/11/2023 03:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,
129,3,11/11/2023 23:00,Amway Center,Orlando Magic,Milwaukee Bucks,
130,3,12/11/2023 00:00,TD Garden,Boston Celtics,Toronto Raptors,
131,3,12/11/2023 00:30,State Farm Arena,Atlanta Hawks,Miami Heat,
132,3,12/11/2023 01:30,Chase Center,Golden State Warriors,Cleveland Cavaliers,
133,3,12/11/2023 17:00,Madison Square Garden,New York Knicks,Charlotte Hornets,
134,3,12/11/2023 20:00,Barclays Center,Brooklyn Nets,Washington Wizards,
135,3,12/11/2023 20:30,Crypto.com Arena,LA Clippers,Memphis Grizzlies,
136,3,12/11/2023 23:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,
137,3,13/11/2023 00:00,United Center,Chicago Bulls,Detroit Pistons,
138,3,13/11/2023 00:00,Toyota Center,Houston Rockets,Denver Nuggets,
139,3,13/11/2023 00:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,
140,3,13/11/2023 00:00,Frost Bank Center,San Antonio Spurs,Miami Heat,
141,3,13/11/2023 01:00,Footprint Center,Phoenix Suns,Oklahoma City Thunder,
142,3,13/11/2023 01:30,Chase Center,Golden State Warriors,Minnesota Timberwolves,
143,3,13/11/2023 03:00,Crypto.com Arena,Los Angeles Lakers,Portland Trail Blazers,
144,4,14/11/2023 00:30,TD Garden,Boston Celtics,New York Knicks,
145,4,14/11/2023 00:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,
146,4,14/11/2023 01:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,
147,4,14/11/2023 03:00,Golden 1 Center,Sacramento Kings,Cleveland Cavaliers,
148,4,15/11/2023 00:00,Spectrum Center,Charlotte Hornets,Miami Heat,
149,4,15/11/2023 00:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,
150,4,15/11/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,
151,4,15/11/2023 00:30,Barclays Center,Brooklyn Nets,Orlando Magic,
152,4,15/11/2023 00:30,Paycom Center,Oklahoma City Thunder,San Antonio Spurs,
153,4,15/11/2023 01:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,
154,4,15/11/2023 02:00,Delta Center,Utah Jazz,Portland Trail Blazers,
155,4,15/11/2023 03:00,Ball Arena,Denver Nuggets,LA Clippers,
156,4,15/11/2023 03:00,Chase Center,Golden State Warriors,Minnesota Timberwolves,
157,4,15/11/2023 03:30,Crypto.com Arena,Los Angeles Lakers,Memphis Grizzlies,
158,4,16/11/2023 00:00,Capital One Arena,Washington Wizards,Dallas Mavericks,
159,4,16/11/2023 00:30,State Farm Arena,Atlanta Hawks,New York Knicks,
160,4,16/11/2023 00:30,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,
161,4,16/11/2023 00:30,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,
162,4,16/11/2023 01:00,United Center,Chicago Bulls,Orlando Magic,
163,4,16/11/2023 02:00,Footprint Center,Phoenix Suns,Minnesota Timberwolves,
164,4,16/11/2023 03:00,Crypto.com Arena,Los Angeles Lakers,Sacramento Kings,
165,4,16/11/2023 03:00,Moda Center,Portland Trail Blazers,Cleveland Cavaliers,
166,4,17/11/2023 00:30,Kaseya Center,Miami Heat,Brooklyn Nets,
167,4,17/11/2023 03:00,Chase Center,Golden State Warriors,Oklahoma City Thunder,
168,4,18/11/2023 00:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,
169,4,18/11/2023 00:00,Capital One Arena,Washington Wizards,New York Knicks,
170,4,18/11/2023 00:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,
171,4,18/11/2023 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,
172,4,18/11/2023 00:30,Scotiabank Arena,Toronto Raptors,Boston Celtics,
173,4,18/11/2023 00:30,Frost Bank Center,San Antonio Spurs,Sacramento Kings,
174,4,18/11/2023 01:00,United Center,Chicago Bulls,Orlando Magic,
175,4,18/11/2023 01:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,
176,4,18/11/2023 03:00,Delta Center,Utah Jazz,Phoenix Suns,
177,4,18/11/2023 03:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,
178,4,18/11/2023 03:30,Crypto.com Arena,LA Clippers,Houston Rockets,
179,4,18/11/2023 23:00,Spectrum Center,Charlotte Hornets,New York Knicks,
180,4,19/11/2023 00:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,
181,4,19/11/2023 01:00,United Center,Chicago Bulls,Miami Heat,
182,4,19/11/2023 01:00,Fiserv Forum,Milwaukee Bucks,Dallas Mavericks,
183,4,19/11/2023 01:00,Frost Bank Center,San Antonio Spurs,Memphis Grizzlies,
184,4,19/11/2023 01:30,Chase Center,Golden State Warriors,Oklahoma City Thunder,
185,4,19/11/2023 20:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,
186,4,19/11/2023 21:00,Scotiabank Arena,Toronto Raptors,Detroit Pistons,
187,4,19/11/2023 22:00,Gainbridge Fieldhouse,Indiana Pacers,Orlando Magic,
188,4,19/11/2023 23:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Denver Nuggets,
189,4,20/11/2023 00:30,American Airlines Center,Dallas Mavericks,Sacramento Kings,
190,4,20/11/2023 01:00,FedExForum,Memphis Grizzlies,Boston Celtics,
191,4,20/11/2023 01:00,Delta Center,Utah Jazz,Phoenix Suns,
192,4,20/11/2023 02:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,
193,4,20/11/2023 02:30,Crypto.com Arena,Los Angeles Lakers,Houston Rockets,
194,5,21/11/2023 00:00,Spectrum Center,Charlotte Hornets,Boston Celtics,
195,5,21/11/2023 00:00,Little Caesars Arena,Detroit Pistons,Denver Nuggets,
196,5,21/11/2023 00:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,
197,5,21/11/2023 01:00,United Center,Chicago Bulls,Miami Heat,
198,5,21/11/2023 01:00,Target Center,Minnesota Timberwolves,New York Knicks,
199,5,21/11/2023 01:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,
200,5,21/11/2023 01:00,Frost Bank Center,San Antonio Spurs,LA Clippers,
201,5,21/11/2023 03:00,Chase Center,Golden State Warriors,Houston Rockets,
202,5,22/11/2023 00:00,Amway Center,Orlando Magic,Toronto Raptors,
203,5,22/11/2023 00:30,State Farm Arena,Atlanta Hawks,Indiana Pacers,
204,5,22/11/2023 00:30,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,
205,5,22/11/2023 02:00,Footprint Center,Phoenix Suns,Portland Trail Blazers,
206,5,22/11/2023 03:00,Crypto.com Arena,Los Angeles Lakers,Utah Jazz,
207,5,23/11/2023 00:00,Spectrum Center,Charlotte Hornets,Washington Wizards,
208,5,23/11/2023 00:00,Amway Center,Orlando Magic,Denver Nuggets,
209,5,23/11/2023 00:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,
210,5,23/11/2023 00:30,TD Garden,Boston Celtics,Milwaukee Bucks,
211,5,23/11/2023 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Miami Heat,
212,5,23/11/2023 00:30,Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,
213,5,23/11/2023 01:00,Toyota Center,Houston Rockets,Memphis Grizzlies,
214,5,23/11/2023 01:00,Target Center,Minnesota Timberwolves,Philadelphia 76ers,
215,5,23/11/2023 01:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,
216,5,23/11/2023 01:00,Paycom Center,Oklahoma City Thunder,Chicago Bulls,
217,5,23/11/2023 01:00,Frost Bank Center,San Antonio Spurs,LA Clippers,
218,5,23/11/2023 03:00,Footprint Center,Phoenix Suns,Golden State Warriors,
219,5,23/11/2023 03:00,Moda Center,Portland Trail Blazers,Utah Jazz,
220,5,23/11/2023 03:30,Crypto.com Arena,Los Angeles Lakers,Dallas Mavericks,
221,5,24/11/2023 19:30,Amway Center,Orlando Magic,Boston Celtics,
222,5,24/11/2023 22:00,FedExForum,Memphis Grizzlies,Phoenix Suns,
223,5,25/11/2023 00:30,Madison Square Garden,New York Knicks,Miami Heat,
224,5,25/11/2023 00:30,Scotiabank Arena,Toronto Raptors,Chicago Bulls,
225,5,25/11/2023 01:00,Gainbridge Fieldhouse,Indiana Pacers,Detroit Pistons,
226,5,25/11/2023 01:00,Toyota Center,Houston Rockets,Denver Nuggets,
227,5,25/11/2023 01:00,Fiserv Forum,Milwaukee Bucks,Washington Wizards,
228,5,25/11/2023 01:00,Target Center,Minnesota Timberwolves,Sacramento Kings,
229,5,25/11/2023 03:00,Chase Center,Golden State Warriors,San Antonio Spurs,
230,5,25/11/2023 03:30,Crypto.com Arena,LA Clippers,New Orleans Pelicans,
231,5,25/11/2023 22:00,Paycom Center,Oklahoma City Thunder,Philadelphia 76ers,
232,5,25/11/2023 23:00,Barclays Center,Brooklyn Nets,Miami Heat,
233,5,26/11/2023 00:00,Capital One Arena,Washington Wizards,Atlanta Hawks,
234,5,26/11/2023 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Los Angeles Lakers,
235,5,26/11/2023 02:30,Delta Center,Utah Jazz,New Orleans Pelicans,
236,5,26/11/2023 03:30,Crypto.com Arena,LA Clippers,Dallas Mavericks,
237,5,26/11/2023 20:30,Fiserv Forum,Milwaukee Bucks,Portland Trail Blazers,
238,5,26/11/2023 23:00,TD Garden,Boston Celtics,Atlanta Hawks,
239,5,26/11/2023 23:00,Madison Square Garden,New York Knicks,Phoenix Suns,
240,5,26/11/2023 23:00,Amway Center,Orlando Magic,Charlotte Hornets,
241,5,26/11/2023 23:00,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,
242,5,27/11/2023 00:30,Barclays Center,Brooklyn Nets,Chicago Bulls,
243,5,27/11/2023 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Toronto Raptors,
244,5,27/11/2023 01:00,Ball Arena,Denver Nuggets,San Antonio Spurs,
245,6,28/11/2023 00:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,
246,6,28/11/2023 00:00,Gainbridge Fieldhouse,Indiana Pacers,Portland Trail Blazers,
247,6,28/11/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Los Angeles Lakers,
248,6,28/11/2023 02:00,Delta Center,Utah Jazz,New Orleans Pelicans,
249,6,28/11/2023 03:30,Crypto.com Arena,LA Clippers,Denver Nuggets,
250,6,29/11/2023 00:30,TD Garden,Boston Celtics,Chicago Bulls,
251,6,29/11/2023 00:30,Barclays Center,Brooklyn Nets,Toronto Raptors,
252,6,29/11/2023 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,
253,6,29/11/2023 00:30,Kaseya Center,Miami Heat,Milwaukee Bucks,
254,6,29/11/2023 00:30,Madison Square Garden,New York Knicks,Charlotte Hornets,
255,6,29/11/2023 01:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,
256,6,29/11/2023 01:30,American Airlines Center,Dallas Mavericks,Houston Rockets,
257,6,29/11/2023 03:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,
258,6,30/11/2023 00:00,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,
259,6,30/11/2023 00:00,Amway Center,Orlando Magic,Washington Wizards,
260,6,30/11/2023 00:30,Scotiabank Arena,Toronto Raptors,Phoenix Suns,
261,6,30/11/2023 01:00,FedExForum,Memphis Grizzlies,Utah Jazz,
262,6,30/11/2023 01:00,Smoothie King Center,New Orleans Pelicans,Philadelphia 76ers,
263,6,30/11/2023 02:00,Ball Arena,Denver Nuggets,Houston Rockets,
264,6,30/11/2023 03:00,Golden 1 Center,Sacramento Kings,LA Clippers,
265,6,01/12/2023 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Portland Trail Blazers,
266,6,01/12/2023 00:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,
267,6,01/12/2023 00:30,Kaseya Center,Miami Heat,Indiana Pacers,
268,6,01/12/2023 00:30,Madison Square Garden,New York Knicks,Detroit Pistons,
269,6,01/12/2023 01:00,United Center,Chicago Bulls,Milwaukee Bucks,
270,6,01/12/2023 01:00,Target Center,Minnesota Timberwolves,Utah Jazz,
271,6,01/12/2023 01:00,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,
272,6,01/12/2023 01:00,Frost Bank Center,San Antonio Spurs,Atlanta Hawks,
273,6,01/12/2023 03:00,Chase Center,Golden State Warriors,LA Clippers,
274,6,02/12/2023 00:00,Amway Center,Orlando Magic,Washington Wizards,
275,6,02/12/2023 00:30,TD Garden,Boston Celtics,Philadelphia 76ers,
276,6,02/12/2023 00:30,Scotiabank Arena,Toronto Raptors,New York Knicks,
277,6,02/12/2023 00:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,
278,6,02/12/2023 01:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,
279,6,02/12/2023 03:00,Footprint Center,Phoenix Suns,Denver Nuggets,
280,6,02/12/2023 21:00,Crypto.com Arena,LA Clippers,Golden State Warriors,
281,6,02/12/2023 22:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,
282,6,03/12/2023 00:00,Barclays Center,Brooklyn Nets,Orlando Magic,
283,6,03/12/2023 00:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,
284,6,03/12/2023 01:00,Kaseya Center,Miami Heat,Indiana Pacers,
285,6,03/12/2023 01:00,United Center,Chicago Bulls,New Orleans Pelicans,
286,6,03/12/2023 01:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,
287,6,03/12/2023 02:00,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,
288,6,03/12/2023 02:00,Footprint Center,Phoenix Suns,Memphis Grizzlies,
289,6,03/12/2023 02:30,Delta Center,Utah Jazz,Portland Trail Blazers,
290,6,03/12/2023 03:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,
291,6,03/12/2023 03:30,Crypto.com Arena,Los Angeles Lakers,Houston Rockets,
292,7,12/12/2023 00:00,Spectrum Center,Charlotte Hornets,Miami Heat,
293,7,12/12/2023 00:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,
294,7,12/12/2023 00:00,Amway Center,Orlando Magic,Cleveland Cavaliers,
295,7,12/12/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,
296,7,12/12/2023 00:30,State Farm Arena,Atlanta Hawks,Denver Nuggets,
297,7,12/12/2023 00:30,Madison Square Garden,New York Knicks,Toronto Raptors,
298,7,12/12/2023 01:00,Toyota Center,Houston Rockets,San Antonio Spurs,
299,7,12/12/2023 01:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,
300,7,12/12/2023 01:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,
301,7,12/12/2023 01:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,
302,7,12/12/2023 01:00,Paycom Center,Oklahoma City Thunder,Utah Jazz,
303,7,12/12/2023 03:00,Golden 1 Center,Sacramento Kings,Brooklyn Nets,
304,7,12/12/2023 03:30,Crypto.com Arena,LA Clippers,Portland Trail Blazers,
305,7,13/12/2023 00:30,TD Garden,Boston Celtics,Cleveland Cavaliers,
306,7,13/12/2023 00:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,
307,7,13/12/2023 01:00,United Center,Chicago Bulls,Denver Nuggets,
308,7,13/12/2023 03:00,Footprint Center,Phoenix Suns,Golden State Warriors,
309,7,13/12/2023 03:30,Crypto.com Arena,LA Clippers,Sacramento Kings,
310,7,14/12/2023 00:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,
311,7,14/12/2023 00:00,Capital One Arena,Washington Wizards,New Orleans Pelicans,
312,7,14/12/2023 00:30,Kaseya Center,Miami Heat,Charlotte Hornets,
313,7,14/12/2023 00:30,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,
314,7,14/12/2023 01:00,Toyota Center,Houston Rockets,Memphis Grizzlies,
315,7,14/12/2023 01:00,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,
316,7,14/12/2023 01:00,Frost Bank Center,San Antonio Spurs,Los Angeles Lakers,
317,7,14/12/2023 02:00,Footprint Center,Phoenix Suns,Brooklyn Nets,
318,7,14/12/2023 02:00,Delta Center,Utah Jazz,New York Knicks,
319,7,15/12/2023 00:30,TD Garden,Boston Celtics,Cleveland Cavaliers,
320,7,15/12/2023 00:30,Kaseya Center,Miami Heat,Chicago Bulls,
321,7,15/12/2023 01:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,
322,7,15/12/2023 02:00,Ball Arena,Denver Nuggets,Brooklyn Nets,
