Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,24/10/2023 23:30,Ball Arena,Denver Nuggets,Los Angeles Lakers,
2,1,25/10/2023 02:00,Chase Center,Golden State Warriors,Phoenix Suns,
3,1,25/10/2023 23:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,
4,1,25/10/2023 23:00,Gainbridge Fieldhouse,Indiana Pacers,Washington Wizards,
5,1,25/10/2023 23:00,Madison Square Garden,New York Knicks,Boston Celtics,
6,1,25/10/2023 23:00,Amway Center,Orlando Magic,Houston Rockets,
7,1,25/10/2023 23:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,
8,1,25/10/2023 23:30,Kaseya Center,Miami Heat,Detroit Pistons,
9,1,25/10/2023 23:30,Scotiabank Arena,Toronto Raptors,Minnesota Timberwolves,
10,1,26/10/2023 00:00,United Center,Chicago Bulls,Oklahoma City Thunder,
11,1,26/10/2023 00:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,
12,1,26/10/2023 01:00,Delta Center,Utah Jazz,Sacramento Kings,
13,1,26/10/2023 01:30,Frost Bank Center,San Antonio Spurs,Dallas Mavericks,
14,1,26/10/2023 02:30,Crypto.com Arena,LA Clippers,Portland Trail Blazers,
15,1,26/10/2023 23:30,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,
16,1,27/10/2023 02:00,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,
17,1,27/10/2023 23:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,
18,1,27/10/2023 23:00,FedExForum,Memphis Grizzlies,Denver Nuggets,
19,1,27/10/2023 23:30,State Farm Arena,Atlanta Hawks,New York Knicks,
20,1,27/10/2023 23:30,TD Garden,Boston Celtics,Miami Heat,
21,1,27/10/2023 23:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Oklahoma City Thunder,
22,1,28/10/2023 00:00,United Center,Chicago Bulls,Toronto Raptors,
23,1,28/10/2023 00:00,Frost Bank Center,San Antonio Spurs,Houston Rockets,
24,1,28/10/2023 00:30,American Airlines Center,Dallas Mavericks,Brooklyn Nets,
25,1,28/10/2023 01:30,Delta Center,Utah Jazz,LA Clippers,
26,1,28/10/2023 02:00,Moda Center,Portland Trail Blazers,Orlando Magic,
27,1,28/10/2023 02:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,
28,1,28/10/2023 23:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,
29,1,28/10/2023 23:00,Capital One Arena,Washington Wizards,Memphis Grizzlies,
30,1,28/10/2023 23:00,Smoothie King Center,New Orleans Pelicans,New York Knicks,
31,1,28/10/2023 23:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Indiana Pacers,
32,1,28/10/2023 23:30,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,
33,1,29/10/2023 00:00,Target Center,Minnesota Timberwolves,Miami Heat,
34,1,29/10/2023 02:00,Footprint Center,Phoenix Suns,Utah Jazz,
35,1,29/10/2023 19:30,Paycom Center,Oklahoma City Thunder,Denver Nuggets,
36,1,29/10/2023 23:00,Toyota Center,Houston Rockets,Golden State Warriors,
37,1,29/10/2023 23:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,
38,1,29/10/2023 23:30,Wells Fargo Center,Philadelphia 76ers,Portland Trail Blazers,
39,1,30/10/2023 01:00,Crypto.com Arena,LA Clippers,San Antonio Spurs,
40,1,30/10/2023 01:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,
41,2,30/10/2023 23:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,
42,2,30/10/2023 23:00,Gainbridge Fieldhouse,Indiana Pacers,Chicago Bulls,
43,2,30/10/2023 23:00,Capital One Arena,Washington Wizards,Boston Celtics,
44,2,30/10/2023 23:30,State Farm Arena,Atlanta Hawks,Minnesota Timberwolves,
45,2,30/10/2023 23:30,Scotiabank Arena,Toronto Raptors,Portland Trail Blazers,
