Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1087,21,23/03/2023 00:00,United Center,Chicago Bulls,Philadelphia 76ers,
1088,21,23/03/2023 00:00,FedExForum,Memphis Grizzlies,Houston Rockets,
1089,21,23/03/2023 00:00,Fiserv Forum,Milwaukee Bucks,San Antonio Spurs,
1090,21,23/03/2023 00:00,Target Center,Minnesota Timberwolves,Atlanta Hawks,
1091,21,23/03/2023 01:00,Vivint Arena,Utah Jazz,Portland Trail Blazers,
1092,21,23/03/2023 02:00,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,
1093,22,23/03/2023 23:00,Amway Center,Orlando Magic,New York Knicks,
1094,22,23/03/2023 23:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,
1095,22,24/03/2023 00:00,Smoothie King Center,New Orleans Pelicans,Charlotte Hornets,
1096,22,24/03/2023 02:30,Crypto.com Arena,LA Clippers,Oklahoma City Thunder,
1097,22,24/03/2023 23:00,TD Garden,Boston Celtics,Indiana Pacers,
1098,22,24/03/2023 23:00,Capital One Arena,Washington Wizards,San Antonio Spurs,
1099,22,24/03/2023 23:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,
1100,22,25/03/2023 00:00,FedExForum,Memphis Grizzlies,Houston Rockets,
1101,22,25/03/2023 00:30,American Airlines Center,Dallas Mavericks,Charlotte Hornets,
1102,22,25/03/2023 01:00,Vivint Arena,Utah Jazz,Milwaukee Bucks,
1103,22,25/03/2023 02:00,Chase Center,Golden State Warriors,Philadelphia 76ers,
1104,22,25/03/2023 02:00,Moda Center,Portland Trail Blazers,Chicago Bulls,
1105,22,25/03/2023 02:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,
1106,22,25/03/2023 02:30,Crypto.com Arena,Los Angeles Lakers,Oklahoma City Thunder,
1107,22,25/03/2023 21:00,State Farm Arena,Atlanta Hawks,Indiana Pacers,
1108,22,26/03/2023 00:00,Miami-Dade Arena,Miami Heat,Brooklyn Nets,
1109,22,26/03/2023 01:00,Ball Arena,Denver Nuggets,Milwaukee Bucks,
1110,22,26/03/2023 02:00,Footprint Center,Phoenix Suns,Philadelphia 76ers,
1111,22,26/03/2023 02:00,Golden 1 Center,Sacramento Kings,Utah Jazz,
1112,22,26/03/2023 02:30,Crypto.com Arena,LA Clippers,New Orleans Pelicans,
1113,22,26/03/2023 17:00,Spectrum Center,Charlotte Hornets,Dallas Mavericks,
1114,22,26/03/2023 19:30,Crypto.com Arena,Los Angeles Lakers,Chicago Bulls,
1115,22,26/03/2023 22:00,State Farm Arena,Atlanta Hawks,Memphis Grizzlies,
1116,22,26/03/2023 22:00,TD Garden,Boston Celtics,San Antonio Spurs,
1117,22,26/03/2023 22:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Houston Rockets,
1118,22,26/03/2023 22:00,Amway Center,Orlando Magic,Brooklyn Nets,
1119,22,26/03/2023 22:00,Scotiabank Arena,Toronto Raptors,Washington Wizards,
1120,22,26/03/2023 23:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,
1121,22,27/03/2023 00:30,Chase Center,Golden State Warriors,Minnesota Timberwolves,
1122,22,27/03/2023 23:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,
1123,22,27/03/2023 23:00,Gainbridge Fieldhouse,Indiana Pacers,Dallas Mavericks,
1124,22,27/03/2023 23:30,Madison Square Garden,New York Knicks,Houston Rockets,
1125,22,28/03/2023 01:00,Vivint Arena,Utah Jazz,Phoenix Suns,
1126,22,28/03/2023 01:30,Ball Arena,Denver Nuggets,Philadelphia 76ers,
1127,22,28/03/2023 02:00,Moda Center,Portland Trail Blazers,New Orleans Pelicans,
1128,22,28/03/2023 02:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,
