Match Number,Round Number,Date,Location,Home Team,Away Team,Result
36,1,26/10/2025 22:00,Rocket Arena,Cleveland Cavaliers,Milwaukee Bucks,
37,1,26/10/2025 22:00,Kaseya Center,Miami Heat,New York Knicks,
38,1,26/10/2025 22:00,Capital One Arena,Washington Wizards,Charlotte Hornets,
39,1,26/10/2025 23:00,Target Center,Minnesota Timberwolves,Indiana Pacers,
40,1,26/10/2025 23:30,American Airlines Center,Dallas Mavericks,Toronto Raptors,
41,1,27/10/2025 01:00,Intuit Dome,LA Clippers,Portland Trail Blazers,
42,1,27/10/2025 01:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,
43,1,27/10/2025 23:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,
45,1,27/10/2025 23:00,Xfinity Mobile Arena,Philadelphia 76ers,Orlando Magic,
46,1,28/10/2025 00:00,United Center,Chicago Bulls,Atlanta Hawks,
47,1,28/10/2025 00:00,Toyota Center,Houston Rockets,Brooklyn Nets,
48,1,28/10/2025 00:00,Smoothie King Center,New Orleans Pelicans,Boston Celtics,
49,1,28/10/2025 00:00,Frost Bank Center,San Antonio Spurs,Toronto Raptors,
50,1,28/10/2025 00:30,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,
51,1,28/10/2025 01:00,Delta Center,Utah Jazz,Phoenix Suns,
44,1,28/10/2025 01:30,Target Center,Minnesota Timberwolves,Denver Nuggets,
52,1,28/10/2025 02:00,Chase Center,Golden State Warriors,Memphis Grizzlies,
53,1,28/10/2025 02:30,Crypto.com Arena,Los Angeles Lakers,Portland Trail Blazers,
54,2,28/10/2025 23:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,
55,2,28/10/2025 23:30,Kaseya Center,Miami Heat,Charlotte Hornets,
56,2,29/10/2025 00:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,
57,2,29/10/2025 00:00,Paycom Center,Oklahoma City Thunder,Sacramento Kings,
58,2,29/10/2025 03:00,Chase Center,Golden State Warriors,LA Clippers,
62,2,29/10/2025 22:30,Scotiabank Arena,Toronto Raptors,Houston Rockets,
59,2,29/10/2025 23:00,TD Garden,Boston Celtics,Cleveland Cavaliers,
60,2,29/10/2025 23:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,
61,2,29/10/2025 23:30,Barclays Center,Brooklyn Nets,Atlanta Hawks,
63,2,30/10/2025 00:00,United Center,Chicago Bulls,Sacramento Kings,
64,2,30/10/2025 00:30,American Airlines Center,Dallas Mavericks,Indiana Pacers,
65,2,30/10/2025 01:00,Ball Arena,Denver Nuggets,New Orleans Pelicans,
66,2,30/10/2025 01:00,Delta Center,Utah Jazz,Portland Trail Blazers,
67,2,30/10/2025 01:30,Target Center,Minnesota Timberwolves,Los Angeles Lakers,
68,2,30/10/2025 02:00,Mortgage Matchup Center,Phoenix Suns,Memphis Grizzlies,
69,2,30/10/2025 23:00,Spectrum Center,Charlotte Hornets,Orlando Magic,
70,2,31/10/2025 00:00,Fiserv Forum,Milwaukee Bucks,Golden State Warriors,
71,2,31/10/2025 00:00,Paycom Center,Oklahoma City Thunder,Washington Wizards,
72,2,31/10/2025 00:30,Frost Bank Center,San Antonio Spurs,Miami Heat,
73,2,31/10/2025 23:00,Gainbridge Fieldhouse,Indiana Pacers,Atlanta Hawks,
74,2,31/10/2025 23:00,Xfinity Mobile Arena,Philadelphia 76ers,Boston Celtics,
75,2,31/10/2025 23:30,Rocket Arena,Cleveland Cavaliers,Toronto Raptors,
76,2,01/11/2025 00:00,United Center,Chicago Bulls,New York Knicks,
77,2,01/11/2025 01:30,FedExForum,Memphis Grizzlies,Los Angeles Lakers,
78,2,01/11/2025 02:00,Mortgage Matchup Center,Phoenix Suns,Utah Jazz,
79,2,01/11/2025 02:00,Moda Center,Portland Trail Blazers,Denver Nuggets,
80,2,01/11/2025 02:30,Intuit Dome,LA Clippers,New Orleans Pelicans,
81,2,01/11/2025 21:00,Fiserv Forum,Milwaukee Bucks,Sacramento Kings,
82,2,01/11/2025 22:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,
83,2,01/11/2025 23:00,Gainbridge Fieldhouse,Indiana Pacers,Golden State Warriors,
84,2,01/11/2025 23:00,Capital One Arena,Washington Wizards,Orlando Magic,
85,2,02/11/2025 00:00,TD Garden,Boston Celtics,Houston Rockets,
86,2,02/11/2025 02:00,Arena CDMX,Detroit Pistons,Dallas Mavericks,
87,2,02/11/2025 20:30,Paycom Center,Oklahoma City Thunder,New Orleans Pelicans,
88,2,02/11/2025 23:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,
89,2,02/11/2025 23:00,Spectrum Center,Charlotte Hornets,Utah Jazz,
90,2,02/11/2025 23:00,Rocket Arena,Cleveland Cavaliers,Atlanta Hawks,
91,2,02/11/2025 23:00,Scotiabank Arena,Toronto Raptors,Memphis Grizzlies,
92,2,03/11/2025 00:00,Madison Square Garden,New York Knicks,Chicago Bulls,
93,2,03/11/2025 01:00,Mortgage Matchup Center,Phoenix Suns,San Antonio Spurs,
94,2,03/11/2025 02:30,Crypto.com Arena,Los Angeles Lakers,Miami Heat,
95,2,04/11/2025 00:00,Barclays Center,Brooklyn Nets,Minnesota Timberwolves,
96,2,04/11/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Milwaukee Bucks,
97,2,04/11/2025 00:30,TD Garden,Boston Celtics,Utah Jazz,
98,2,04/11/2025 00:30,Madison Square Garden,New York Knicks,Washington Wizards,
99,2,04/11/2025 01:00,Toyota Center,Houston Rockets,Dallas Mavericks,
100,2,04/11/2025 01:00,FedExForum,Memphis Grizzlies,Detroit Pistons,
101,2,04/11/2025 02:00,Ball Arena,Denver Nuggets,Sacramento Kings,
102,2,04/11/2025 03:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,
103,2,04/11/2025 03:30,Intuit Dome,LA Clippers,Miami Heat,
104,3,05/11/2025 00:30,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,
105,3,05/11/2025 01:00,State Farm Arena,Atlanta Hawks,Orlando Magic,
106,3,05/11/2025 01:00,United Center,Chicago Bulls,Philadelphia 76ers,
107,3,05/11/2025 01:00,Smoothie King Center,New Orleans Pelicans,Charlotte Hornets,
108,3,05/11/2025 03:00,Chase Center,Golden State Warriors,Phoenix Suns,
109,3,05/11/2025 04:00,Intuit Dome,LA Clippers,Oklahoma City Thunder,
110,3,06/11/2025 00:00,Rocket Arena,Cleveland Cavaliers,Philadelphia 76ers,
111,3,06/11/2025 00:00,Little Caesars Arena,Detroit Pistons,Utah Jazz,
112,3,06/11/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Brooklyn Nets,
113,3,06/11/2025 00:30,TD Garden,Boston Celtics,Washington Wizards,
114,3,06/11/2025 00:30,Madison Square Garden,New York Knicks,Minnesota Timberwolves,
115,3,06/11/2025 01:00,FedExForum,Memphis Grizzlies,Houston Rockets,
116,3,06/11/2025 01:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,
117,3,06/11/2025 02:00,Ball Arena,Denver Nuggets,Miami Heat,
118,3,06/11/2025 03:00,Crypto.com Arena,Los Angeles Lakers,San Antonio Spurs,
119,3,06/11/2025 03:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,
120,3,06/11/2025 03:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,
121,3,07/11/2025 02:00,Mortgage Matchup Center,Phoenix Suns,LA Clippers,
122,3,08/11/2025 00:00,Kia Center,Orlando Magic,Boston Celtics,
123,3,08/11/2025 00:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,
124,3,08/11/2025 00:30,State Farm Arena,Atlanta Hawks,Toronto Raptors,
125,3,08/11/2025 00:30,Barclays Center,Brooklyn Nets,Detroit Pistons,
126,3,08/11/2025 00:30,Frost Bank Center,San Antonio Spurs,Houston Rockets,
127,3,08/11/2025 01:00,Kaseya Center,Miami Heat,Charlotte Hornets,
128,3,08/11/2025 01:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,
129,3,08/11/2025 01:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,
130,3,08/11/2025 01:00,Target Center,Minnesota Timberwolves,Utah Jazz,
131,3,08/11/2025 03:00,Ball Arena,Denver Nuggets,Golden State Warriors,
132,3,08/11/2025 03:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,
133,3,09/11/2025 00:00,Capital One Arena,Washington Wizards,Dallas Mavericks,
134,3,09/11/2025 00:30,Xfinity Mobile Arena,Philadelphia 76ers,Toronto Raptors,
135,3,09/11/2025 01:00,State Farm Arena,Atlanta Hawks,Los Angeles Lakers,
136,3,09/11/2025 01:00,Rocket Arena,Cleveland Cavaliers,Chicago Bulls,
137,3,09/11/2025 01:00,Kaseya Center,Miami Heat,Portland Trail Blazers,
138,3,09/11/2025 01:00,Frost Bank Center,San Antonio Spurs,New Orleans Pelicans,
139,3,09/11/2025 02:00,Ball Arena,Denver Nuggets,Indiana Pacers,
140,3,09/11/2025 03:30,Intuit Dome,LA Clippers,Phoenix Suns,
141,3,09/11/2025 20:30,Fiserv Forum,Milwaukee Bucks,Houston Rockets,
142,3,09/11/2025 23:00,Madison Square Garden,New York Knicks,Brooklyn Nets,
143,3,09/11/2025 23:00,Kia Center,Orlando Magic,Boston Celtics,
144,3,09/11/2025 23:00,FedExForum,Memphis Grizzlies,Oklahoma City Thunder,
145,3,10/11/2025 00:30,Xfinity Mobile Arena,Philadelphia 76ers,Detroit Pistons,
146,3,10/11/2025 01:30,Chase Center,Golden State Warriors,Indiana Pacers,
147,3,10/11/2025 02:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,
148,3,11/11/2025 00:00,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,
149,3,11/11/2025 00:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,
150,3,11/11/2025 00:00,Kia Center,Orlando Magic,Portland Trail Blazers,
151,3,11/11/2025 00:30,Kaseya Center,Miami Heat,Cleveland Cavaliers,
152,3,11/11/2025 01:00,United Center,Chicago Bulls,San Antonio Spurs,
153,3,11/11/2025 01:30,American Airlines Center,Dallas Mavericks,Milwaukee Bucks,
154,3,11/11/2025 02:00,Mortgage Matchup Center,Phoenix Suns,New Orleans Pelicans,
155,3,11/11/2025 02:00,Delta Center,Utah Jazz,Minnesota Timberwolves,
156,3,11/11/2025 03:30,Intuit Dome,LA Clippers,Atlanta Hawks,
157,4,12/11/2025 00:30,Barclays Center,Brooklyn Nets,Toronto Raptors,
158,4,12/11/2025 00:30,Madison Square Garden,New York Knicks,Memphis Grizzlies,
159,4,12/11/2025 01:00,Xfinity Mobile Arena,Philadelphia 76ers,Boston Celtics,
160,4,12/11/2025 01:00,Paycom Center,Oklahoma City Thunder,Golden State Warriors,
161,4,12/11/2025 02:00,Delta Center,Utah Jazz,Indiana Pacers,
162,4,12/11/2025 04:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,
163,4,13/11/2025 00:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,
164,4,13/11/2025 00:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,
165,4,13/11/2025 00:00,Madison Square Garden,New York Knicks,Orlando Magic,
166,4,13/11/2025 00:30,TD Garden,Boston Celtics,Memphis Grizzlies,
167,4,13/11/2025 00:30,Kaseya Center,Miami Heat,Cleveland Cavaliers,
168,4,13/11/2025 01:00,Toyota Center,Houston Rockets,Washington Wizards,
169,4,13/11/2025 01:00,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,
170,4,13/11/2025 01:00,Frost Bank Center,San Antonio Spurs,Golden State Warriors,
171,4,13/11/2025 01:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,
172,4,13/11/2025 02:30,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,
173,4,13/11/2025 03:00,Golden 1 Center,Sacramento Kings,Atlanta Hawks,
174,4,13/11/2025 03:30,Intuit Dome,LA Clippers,Denver Nuggets,
175,4,14/11/2025 00:00,Rocket Arena,Cleveland Cavaliers,Toronto Raptors,
176,4,14/11/2025 02:00,Mortgage Matchup Center,Phoenix Suns,Indiana Pacers,
177,4,14/11/2025 02:00,Delta Center,Utah Jazz,Atlanta Hawks,
178,4,15/11/2025 00:00,Madison Square Garden,New York Knicks,Miami Heat,
179,4,15/11/2025 00:00,Kia Center,Orlando Magic,Brooklyn Nets,
180,4,15/11/2025 00:30,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,
181,4,15/11/2025 01:00,Toyota Center,Houston Rockets,Portland Trail Blazers,
182,4,15/11/2025 01:00,Fiserv Forum,Milwaukee Bucks,Charlotte Hornets,
183,4,15/11/2025 01:00,Target Center,Minnesota Timberwolves,Sacramento Kings,
184,4,15/11/2025 01:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,
185,4,15/11/2025 01:30,American Airlines Center,Dallas Mavericks,LA Clippers,
186,4,15/11/2025 02:30,Frost Bank Center,San Antonio Spurs,Golden State Warriors,
187,4,15/11/2025 22:00,Rocket Arena,Cleveland Cavaliers,Memphis Grizzlies,
188,4,16/11/2025 00:00,Spectrum Center,Charlotte Hornets,Oklahoma City Thunder,
189,4,16/11/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,
190,4,16/11/2025 01:00,Fiserv Forum,Milwaukee Bucks,Los Angeles Lakers,
191,4,16/11/2025 01:00,Target Center,Minnesota Timberwolves,Denver Nuggets,
192,4,16/11/2025 20:30,TD Garden,Boston Celtics,LA Clippers,
193,4,16/11/2025 21:00,Frost Bank Center,San Antonio Spurs,Sacramento Kings,
194,4,16/11/2025 23:00,Capital One Arena,Washington Wizards,Brooklyn Nets,
195,4,17/11/2025 00:00,Toyota Center,Houston Rockets,Orlando Magic,
196,4,17/11/2025 00:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,
197,4,17/11/2025 00:30,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,
198,4,17/11/2025 01:00,Mortgage Matchup Center,Phoenix Suns,Atlanta Hawks,
199,4,17/11/2025 01:00,Delta Center,Utah Jazz,Chicago Bulls,
200,4,18/11/2025 00:00,Rocket Arena,Cleveland Cavaliers,Milwaukee Bucks,
201,4,18/11/2025 00:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,
202,4,18/11/2025 00:00,Xfinity Mobile Arena,Philadelphia 76ers,LA Clippers,
203,4,18/11/2025 00:30,Kaseya Center,Miami Heat,New York Knicks,
204,4,18/11/2025 00:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,
205,4,18/11/2025 01:00,Target Center,Minnesota Timberwolves,Dallas Mavericks,
206,4,18/11/2025 01:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,
207,4,18/11/2025 02:00,Ball Arena,Denver Nuggets,Chicago Bulls,
208,5,19/11/2025 00:00,Kia Center,Orlando Magic,Golden State Warriors,
209,5,19/11/2025 00:30,Barclays Center,Brooklyn Nets,Boston Celtics,
210,5,19/11/2025 01:00,State Farm Arena,Atlanta Hawks,Detroit Pistons,
211,5,19/11/2025 01:00,Frost Bank Center,San Antonio Spurs,Memphis Grizzlies,
212,5,19/11/2025 03:30,Crypto.com Arena,Los Angeles Lakers,Utah Jazz,
213,5,19/11/2025 04:00,Moda Center,Portland Trail Blazers,Phoenix Suns,
214,5,20/11/2025 00:00,Rocket Arena,Cleveland Cavaliers,Houston Rockets,
215,5,20/11/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Charlotte Hornets,
216,5,20/11/2025 00:00,Kaseya Center,Miami Heat,Golden State Warriors,
217,5,20/11/2025 00:00,Xfinity Mobile Arena,Philadelphia 76ers,Toronto Raptors,
218,5,20/11/2025 01:00,Target Center,Minnesota Timberwolves,Washington Wizards,
219,5,20/11/2025 01:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,
220,5,20/11/2025 01:00,Paycom Center,Oklahoma City Thunder,Sacramento Kings,
221,5,20/11/2025 02:30,American Airlines Center,Dallas Mavericks,New York Knicks,
222,5,20/11/2025 03:00,Moda Center,Portland Trail Blazers,Chicago Bulls,
223,5,21/11/2025 00:00,Kia Center,Orlando Magic,LA Clippers,
224,5,21/11/2025 01:00,FedExForum,Memphis Grizzlies,Sacramento Kings,
225,5,21/11/2025 01:00,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,
226,5,21/11/2025 01:00,Frost Bank Center,San Antonio Spurs,Atlanta Hawks,
227,5,22/11/2025 00:00,Rocket Arena,Cleveland Cavaliers,Indiana Pacers,
228,5,22/11/2025 00:30,TD Garden,Boston Celtics,Brooklyn Nets,
229,5,22/11/2025 00:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,
230,5,22/11/2025 01:00,United Center,Chicago Bulls,Miami Heat,
231,5,22/11/2025 01:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,
232,5,22/11/2025 02:00,Mortgage Matchup Center,Phoenix Suns,Minnesota Timberwolves,
233,5,22/11/2025 02:30,Toyota Center,Houston Rockets,Denver Nuggets,
234,5,22/11/2025 03:00,Delta Center,Utah Jazz,Oklahoma City Thunder,
235,5,22/11/2025 03:00,Chase Center,Golden State Warriors,Portland Trail Blazers,
236,5,22/11/2025 18:00,Spectrum Center,Charlotte Hornets,LA Clippers,
237,5,22/11/2025 22:00,Kia Center,Orlando Magic,New York Knicks,
238,5,23/11/2025 00:00,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,
239,5,23/11/2025 01:00,United Center,Chicago Bulls,Washington Wizards,
240,5,23/11/2025 01:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,
241,5,23/11/2025 01:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,
242,5,23/11/2025 03:00,Ball Arena,Denver Nuggets,Sacramento Kings,
243,5,23/11/2025 18:00,Xfinity Mobile Arena,Philadelphia 76ers,Miami Heat,
244,5,23/11/2025 23:00,State Farm Arena,Atlanta Hawks,Charlotte Hornets,
245,5,23/11/2025 23:00,TD Garden,Boston Celtics,Orlando Magic,
246,5,23/11/2025 23:00,Rocket Arena,Cleveland Cavaliers,LA Clippers,
247,5,23/11/2025 23:00,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,
248,5,24/11/2025 00:00,Paycom Center,Oklahoma City Thunder,Portland Trail Blazers,
249,5,24/11/2025 01:00,Mortgage Matchup Center,Phoenix Suns,San Antonio Spurs,
250,5,24/11/2025 01:00,Delta Center,Utah Jazz,Los Angeles Lakers,
251,5,25/11/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Detroit Pistons,
252,5,25/11/2025 00:00,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,
253,5,25/11/2025 00:30,Barclays Center,Brooklyn Nets,New York Knicks,
254,5,25/11/2025 00:30,Kaseya Center,Miami Heat,Dallas Mavericks,
255,5,25/11/2025 01:00,FedExForum,Memphis Grizzlies,Denver Nuggets,
256,5,25/11/2025 01:00,Fiserv Forum,Milwaukee Bucks,Portland Trail Blazers,
257,5,25/11/2025 01:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,
258,5,25/11/2025 02:30,Mortgage Matchup Center,Phoenix Suns,Houston Rockets,
259,5,25/11/2025 03:00,Chase Center,Golden State Warriors,Utah Jazz,
260,5,25/11/2025 03:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,
261,6,26/11/2025 00:00,Capital One Arena,Washington Wizards,Atlanta Hawks,
262,6,26/11/2025 01:00,Xfinity Mobile Arena,Philadelphia 76ers,Orlando Magic,
263,6,26/11/2025 04:00,Crypto.com Arena,Los Angeles Lakers,LA Clippers,
264,6,26/11/2025 22:00,TD Garden,Boston Celtics,Detroit Pistons,
265,6,27/11/2025 00:00,Spectrum Center,Charlotte Hornets,New York Knicks,
266,6,27/11/2025 00:30,Kaseya Center,Miami Heat,Milwaukee Bucks,
267,6,27/11/2025 00:30,Scotiabank Arena,Toronto Raptors,Indiana Pacers,
268,6,27/11/2025 00:30,Paycom Center,Oklahoma City Thunder,Minnesota Timberwolves,
269,6,27/11/2025 01:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,
270,6,27/11/2025 03:00,Chase Center,Golden State Warriors,Houston Rockets,
271,6,27/11/2025 03:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,
272,6,27/11/2025 03:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,
273,6,29/11/2025 00:30,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,
274,6,29/11/2025 00:30,Barclays Center,Brooklyn Nets,Philadelphia 76ers,
275,6,29/11/2025 00:30,Spectrum Center,Charlotte Hornets,Chicago Bulls,
276,6,29/11/2025 00:30,Little Caesars Arena,Detroit Pistons,Orlando Magic,
277,6,29/11/2025 00:30,Gainbridge Fieldhouse,Indiana Pacers,Washington Wizards,
278,6,29/11/2025 00:30,Madison Square Garden,New York Knicks,Milwaukee Bucks,
279,6,29/11/2025 02:30,Paycom Center,Oklahoma City Thunder,Phoenix Suns,
280,6,29/11/2025 02:30,Ball Arena,Denver Nuggets,San Antonio Spurs,
281,6,29/11/2025 02:30,Delta Center,Utah Jazz,Sacramento Kings,
282,6,29/11/2025 03:00,Crypto.com Arena,Los Angeles Lakers,Dallas Mavericks,
283,6,29/11/2025 03:00,Intuit Dome,LA Clippers,Memphis Grizzlies,
284,6,29/11/2025 22:00,Target Center,Minnesota Timberwolves,Boston Celtics,
285,6,29/11/2025 23:00,Spectrum Center,Charlotte Hornets,Toronto Raptors,
286,6,30/11/2025 00:30,Gainbridge Fieldhouse,Indiana Pacers,Chicago Bulls,
287,6,30/11/2025 01:00,Kaseya Center,Miami Heat,Detroit Pistons,
288,6,30/11/2025 01:00,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,
289,6,30/11/2025 01:30,Chase Center,Golden State Warriors,New Orleans Pelicans,
290,6,30/11/2025 02:00,Mortgage Matchup Center,Phoenix Suns,Denver Nuggets,
291,6,30/11/2025 03:00,Intuit Dome,LA Clippers,Dallas Mavericks,
292,6,30/11/2025 20:00,Delta Center,Utah Jazz,Houston Rockets,
293,6,30/11/2025 23:00,Rocket Arena,Cleveland Cavaliers,Boston Celtics,
294,6,30/11/2025 23:00,Madison Square Garden,New York Knicks,Toronto Raptors,
295,6,30/11/2025 23:00,Xfinity Mobile Arena,Philadelphia 76ers,Atlanta Hawks,
296,6,30/11/2025 23:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,
297,6,01/12/2025 00:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,
298,6,01/12/2025 02:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,
299,6,01/12/2025 02:30,Crypto.com Arena,Los Angeles Lakers,New Orleans Pelicans,
300,6,02/12/2025 00:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,
301,6,02/12/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Cleveland Cavaliers,
302,6,02/12/2025 00:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,
303,6,02/12/2025 00:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,
304,6,02/12/2025 00:30,Kaseya Center,Miami Heat,LA Clippers,
305,6,02/12/2025 00:30,Kia Center,Orlando Magic,Chicago Bulls,
306,6,02/12/2025 02:00,Ball Arena,Denver Nuggets,Dallas Mavericks,
307,6,02/12/2025 02:00,Delta Center,Utah Jazz,Houston Rockets,
308,6,02/12/2025 03:00,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,
309,7,03/12/2025 00:00,Xfinity Mobile Arena,Philadelphia 76ers,Washington Wizards,
310,7,03/12/2025 00:30,Scotiabank Arena,Toronto Raptors,Portland Trail Blazers,
311,7,03/12/2025 01:00,TD Garden,Boston Celtics,New York Knicks,
312,7,03/12/2025 01:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,
313,7,03/12/2025 01:00,Frost Bank Center,San Antonio Spurs,Memphis Grizzlies,
314,7,03/12/2025 04:00,Chase Center,Golden State Warriors,Oklahoma City Thunder,
315,7,04/12/2025 00:00,Rocket Arena,Cleveland Cavaliers,Portland Trail Blazers,
316,7,04/12/2025 00:00,Gainbridge Fieldhouse,Indiana Pacers,Denver Nuggets,
317,7,04/12/2025 00:00,Kia Center,Orlando Magic,San Antonio Spurs,
318,7,04/12/2025 00:30,State Farm Arena,Atlanta Hawks,LA Clippers,
